#{"t_start": 1699932021.0722895, "env_id": null}
r,l,t
414.353266,300,4988.664508
445.566251,300,4989.785845
474.228865,300,4990.924378
393.008662,300,4992.050601
462.445911,300,4993.888345
475.243249,300,4995.014021
526.786618,300,4996.139696
416.318788,300,4997.250447
535.594836,300,4998.389213
510.492012,300,4999.526495
410.181472,300,5000.6618
406.852616,300,5002.527417
466.339196,300,5003.663912
436.676442,300,5004.80085
412.487477,300,5005.947552
447.555665,300,5007.059704
501.467874,300,5008.182045
413.766565,300,5009.300328
426.563512,300,5011.135779
524.345589,300,5012.260293
475.590808,300,5013.392777
511.662211,300,5014.518749
455.060925,300,5015.641721
360.791402,300,5016.784228
442.441262,300,5017.891239
455.992665,300,5019.740285
435.359871,300,5020.860147
482.468679,300,5021.98336
476.243272,300,5023.108716
478.752626,300,5024.233376
500.350698,300,5025.346967
425.147728,300,5027.225356
485.91651,300,5028.362382
428.413196,300,5029.495413
412.668569,300,5030.634809
462.927403,300,5031.783545
520.33456,300,5032.905776
469.845721,300,5034.041148
482.905795,300,5035.858231
490.191016,300,5036.995474
472.823514,300,5038.130398
529.837499,300,5039.250257
428.567046,300,5040.372744
433.334818,300,5041.509077
420.622196,300,5042.630165
449.048868,300,5044.465324
458.005819,300,5045.588954
440.573133,300,5046.727628
383.386699,300,5047.836088
439.227881,300,5048.943475
430.709171,300,5050.063435
389.400901,300,5051.183728
533.706404,300,5053.000762
377.870434,300,5054.107677
373.571202,300,5055.22871
521.041691,300,5056.327158
520.82374,300,5057.4375
384.337591,300,5058.540587
525.229164,300,5059.649231
508.91226,300,5061.579684
423.900762,300,5062.692426
536.312808,300,5063.807168
404.317732,300,5064.935318
533.445427,300,5066.058958
498.54636,300,5067.207939
515.77096,300,5068.346462
527.924455,300,5070.24042
446.834384,300,5071.376026
450.972484,300,5072.513529
428.418049,300,5073.647967
422.484248,300,5074.797683
497.610216,300,5075.959395
300.252366,300,5077.825536
412.517753,300,5078.974022
444.974,300,5080.11758
348.248695,300,5081.252787
498.35929,300,5082.38965
427.411431,300,5083.526472
383.750466,300,5084.67497
463.714005,300,5086.533187
398.343387,300,5087.68062
404.284345,300,5088.825628
442.354532,300,5089.956656
462.419084,300,5091.114397
344.673203,300,5092.249323
404.537488,300,5093.396868
456.275959,300,5095.250334
264.951212,300,5096.38215
430.281318,300,5097.517735
502.76279,300,5098.636685
499.990239,300,5099.769213
427.712837,300,5100.901829
512.282729,300,5102.033227
516.984321,300,5103.9366
388.600459,300,5105.070212
566.259979,300,5106.217093
518.790767,300,5107.335245
329.033953,300,5108.468009
410.565131,300,5109.604663
464.191704,300,5110.733639
442.964079,300,5112.609776
368.865595,300,5113.741497
464.522995,300,5114.873471
418.738859,300,5116.007313
420.063252,300,5117.140062
420.761969,300,5118.278514
439.654739,300,5120.125426
520.31339,300,5121.278955
350.066851,300,5122.430301
503.506928,300,5123.568378
468.780763,300,5124.704544
380.905323,300,5125.854293
399.721971,300,5126.992467
383.157541,300,5128.861703
422.426487,300,5130.008205
372.02995,300,5131.140326
525.746127,300,5132.254611
480.418858,300,5133.388151
514.989653,300,5134.520874
333.441951,300,5135.668504
470.206022,300,5137.516463
444.154646,300,5138.650498
517.238874,300,5139.787012
338.713284,300,5140.906783
413.548637,300,5142.05089
486.080583,300,5143.184164
495.365809,300,5144.318966
554.887728,300,5146.184917
412.900922,300,5147.316885
516.900084,300,5148.450222
509.448141,300,5149.54424
487.623609,300,5150.690098
467.91565,300,5151.827368
489.892192,300,5152.963875
425.847113,300,5154.797572
435.711126,300,5155.933098
500.382546,300,5157.071226
403.896861,300,5158.201059
481.063842,300,5159.334963
517.969264,300,5160.448892
527.590598,300,5161.583885
512.724691,300,5163.461928
487.741885,300,5164.592036
443.566579,300,5165.735825
390.235293,300,5166.87144
416.728302,300,5168.009702
473.492858,300,5169.146958
414.225985,300,5170.992279
352.0294,300,5172.128448
445.802844,300,5173.260869
505.088012,300,5174.39413
467.103253,300,5175.510316
455.194078,300,5176.63044
410.535291,300,5177.763168
456.888371,300,5179.604303
430.3071,300,5180.744446
408.557459,300,5181.881361
516.240239,300,5183.018044
454.62903,300,5184.151241
439.79698,300,5185.298897
362.666912,300,5186.430276
452.404413,300,5188.286663
392.834036,300,5189.414144
482.974556,300,5190.534301
520.977912,300,5191.668108
542.783127,300,5192.805964
531.235308,300,5193.936437
395.90196,300,5195.087384
427.709054,300,5196.914855
474.843294,300,5198.052611
386.514808,300,5199.175009
388.294768,300,5200.30119
391.271168,300,5201.421015
503.56331,300,5202.555662
514.793882,300,5203.674994
405.607249,300,5205.604738
508.412526,300,5206.734004
485.131752,300,5207.851787
447.088648,300,5208.988636
426.543849,300,5210.133728
401.887081,300,5211.285647
414.170717,300,5212.40509
466.321967,300,5214.250795
445.667658,300,5215.383097
506.761792,300,5216.51525
485.283303,300,5217.649551
479.744549,300,5218.77194
412.356999,300,5219.910791
445.166451,300,5221.775747
480.613869,300,5222.913261
510.159449,300,5224.048396
499.970131,300,5225.180209
532.555189,300,5226.316873
368.43072,300,5227.454574
383.380892,300,5228.589645
469.799705,300,5230.439025
532.316012,300,5231.572042
438.158625,300,5232.708041
351.495378,300,5233.842141
422.014729,300,5234.958765
531.353973,300,5236.093902
503.611665,300,5237.240332
554.54761,300,5239.068972
502.996862,300,5240.228622
437.391943,300,5241.362241
423.802758,300,5242.494866
479.162477,300,5243.627769
400.776512,300,5244.764242
545.739724,300,5245.885489
404.711585,300,5247.732993
506.686875,300,5248.854325
554.610797,300,5249.990897
526.00778,300,5251.124776
342.943338,300,5252.243064
515.939706,300,5253.350834
446.174368,300,5254.471358
398.781767,300,5256.305041
483.758809,300,5257.41435
383.293592,300,5258.540276
397.178152,300,5259.665117
550.133652,300,5260.803266
406.69249,300,5261.929303
470.06028,300,5263.066541
394.010667,300,5264.907758
476.608835,300,5265.976058
481.571164,300,5267.09452
523.391039,300,5268.172066
475.512229,300,5269.274787
482.90697,300,5270.382603
517.060897,300,5273.330076
523.554736,300,5274.470495
440.606329,300,5275.611428
351.283481,300,5276.763759
521.389137,300,5277.891102
456.581049,300,5278.997026
443.061536,300,5280.12533
495.009232,300,5283.118054
388.551041,300,5284.256959
380.949591,300,5285.361685
406.799052,300,5286.494974
449.467212,300,5287.617167
383.076041,300,5288.737697
522.816483,300,5289.85671
424.707796,300,5292.510208
476.822215,300,5293.628689
183.21848,300,5294.734631
531.067914,300,5295.852941
386.525147,300,5296.977362
500.023897,300,5298.089252
493.456721,300,5299.226249
462.282916,300,5302.026175
380.080589,300,5303.167671
517.108957,300,5304.287775
498.982555,300,5305.420972
458.564307,300,5306.556372
556.972735,300,5307.67893
501.619672,300,5308.801405
494.817927,300,5311.640671
557.376896,300,5312.779298
390.049609,300,5313.918009
520.777949,300,5315.03843
502.972334,300,5316.1824
379.973621,300,5317.302275
432.922206,300,5320.293252
368.94666,300,5321.426558
451.933024,300,5322.521999
366.798624,300,5323.648824
442.199499,300,5324.778888
414.712562,300,5325.898514
368.120238,300,5327.032094
515.032832,300,5329.974745
490.783876,300,5331.096221
462.766288,300,5332.232294
384.13603,300,5333.347271
360.416209,300,5334.469195
480.133924,300,5335.594915
491.103304,300,5336.705075
385.261119,300,5339.689637
407.520061,300,5340.807192
475.122126,300,5341.936372
216.506222,300,5343.041117
442.872333,300,5344.162101
389.741388,300,5345.295917
398.03959,300,5346.429706
501.409848,300,5349.22131
545.837586,300,5350.358487
381.32248,300,5351.474816
526.77892,300,5352.622925
480.877551,300,5353.743561
453.192373,300,5354.880805
399.484529,300,5356.014045
424.217599,300,5358.859328
448.627745,300,5359.996455
398.340648,300,5361.10738
468.71832,300,5362.242083
411.382745,300,5363.368284
397.926363,300,5364.488494
505.125659,300,5365.612132
390.299974,300,5368.531355
485.347673,300,5369.65957
533.061244,300,5370.79511
384.321283,300,5371.919843
395.399627,300,5373.044065
451.696477,300,5374.181312
403.875429,300,5377.094469
452.78459,300,5378.217209
498.305725,300,5379.35367
462.855912,300,5380.472529
419.408731,300,5381.59531
448.106064,300,5382.712955
443.909137,300,5383.866583
479.098544,300,5386.701846
452.119358,300,5387.809426
442.572802,300,5388.946384
511.312052,300,5390.065929
397.928147,300,5391.187905
463.700699,300,5392.291288
391.372192,300,5393.424299
403.534614,300,5396.057652
483.362982,300,5397.179667
397.663159,300,5398.310124
529.884487,300,5399.416318
395.603443,300,5400.540118
438.115195,300,5401.674049
469.78085,300,5402.80392
454.426944,300,5405.706176
368.723444,300,5406.822522
519.278048,300,5407.944596
427.281969,300,5409.062884
452.93713,300,5410.183362
398.705849,300,5411.324717
384.677952,300,5412.448834
397.333132,300,5415.350511
529.684324,300,5416.467971
513.049812,300,5417.565397
378.498763,300,5418.712781
534.674218,300,5419.847561
