rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss,train/entropy_loss,train/std
298.81,135168,488,276,977.0838438000002,66,0.015631258487701416,0.0003,74000,4169.196722412109,0.2,-0.00938785842154175,0.02636823,0.121630859375,58.58750915527344,-27.838355243206024,10.918852806091309
298.81,137216,496,276,1047.19979396,67,0.00203782320022583,0.0003,74010,3592.4081297755242,0.2,-0.0018189873051596805,0.03534718,0.12314453125,186.204833984375,-27.866281181573868,10.97800350189209
298.81,139264,503,276,1119.44389519,68,0.3322301506996155,0.0003,74020,4158.184802794456,0.2,-0.00018257870688103138,0.04618112,0.122900390625,272.8525085449219,-27.879522961378097,11.002340316772461
298.81,141312,510,276,1194.0483614099999,69,0.015983641147613525,0.0003,74030,4125.040530276298,0.2,-0.008334052163991145,0.045624103,0.16806640625,245.02252197265625,-27.880099838972093,10.955880165100098
298.81,143360,518,276,1263.53902694,70,0.008547425270080566,0.0003,74040,4137.358040308953,0.2,-0.0015515932347625494,0.05380318,0.136376953125,194.428955078125,-27.865644425153732,10.95804214477539
298.81,145408,525,276,1341.2795793500002,71,0.12112712860107422,0.0003,74050,4159.563843631744,0.2,-0.005027681063802447,0.03514591,0.115869140625,175.9845428466797,-27.86559178829193,10.941946983337402
298.81,147456,532,276,1403.3604475799998,72,-0.00198519229888916,0.0003,74060,4157.555532562733,0.2,-0.00315847040474182,0.081385806,0.17490234375,161.9200439453125,-27.846883326768875,10.924978256225586
300.0,149504,539,276,1477.1849580900005,73,-8.320808410644531e-05,0.0003,74070,3512.7121913433075,0.2,-0.008710073442489374,0.043067455,0.150537109375,167.27037048339844,-27.82739773988724,10.889425277709961
300.0,151552,547,277,1470.3845748500003,74,0.005810141563415527,0.0003,74080,4128.705217289925,0.2,-0.0017331410985207186,0.041969173,0.137109375,291.7658996582031,-27.81704744696617,10.862875938415527
300.0,153600,554,277,1469.2450491600002,75,0.2627938389778137,0.0003,74090,4149.300033318997,0.2,-0.003342235718446318,0.04077613,0.106689453125,212.45416259765625,-27.826341474056242,10.90372085571289
300.0,155648,561,277,1475.8354787800001,76,0.016779303550720215,0.0003,74100,4160.606696033477,0.2,-0.009006782640790334,0.04627881,0.1759765625,201.74159240722656,-27.86322354674339,10.94506549835205
300.0,157696,568,277,1473.8773425699997,77,0.0063474178314208984,0.0003,74110,4125.464843368531,0.2,-0.002952559136610944,0.036927983,0.140234375,62.276371002197266,-27.88131176829338,10.922688484191895
300.0,159744,576,277,1473.766098,78,0.009824693202972412,0.0003,74120,4088.1314312934874,0.2,-0.007402993908908684,0.02565866,0.12646484375,8689.083984375,-27.893532472848893,10.935113906860352
300.0,161792,583,277,1472.6375775400002,79,0.0010912418365478516,0.0003,74130,3577.570993757248,0.2,-0.006657398454262875,0.041247338,0.155615234375,125.65271759033203,-27.879886561632155,10.912696838378906
300.0,163840,591,277,1467.01674417,80,0.005495131015777588,0.0003,74140,4135.2483152270315,0.2,-0.006870533765322762,0.06476404,0.13583984375,139.25074768066406,-27.874637430906297,10.883069038391113
300.0,165888,598,277,1464.9248561699997,81,0.23929178714752197,0.0003,74150,4135.121626973152,0.2,-0.00561039145977702,0.038819246,0.12685546875,60.034446716308594,-27.87440430521965,10.945090293884277
